24,24,65,9886,586,585688
24,24,63,9811,592,631082
24,25,59,9354,597,501829
25,25,57,9689,603,478183
26,27,63,9607,610,516918
27,29,70,9562,616,521709
28,29,66,9521,621,532045
28,30,69,9483,617,554699
27,29,71,9430,623,565842
27,29,75,9375,629,532059
24,25,64,9399,638,564941
24,24,67,9275,647,502939
22,23,64,9281,653,494497
25,25,65,9289,661,542455
25,26,64,9293,667,490563
25,25,61,9298,679,514956
27,29,71,9314,684,530987
28,29,67,9325,689,554516
28,29,64,9337,692,552168
28,30,68,9344,698,584194
27,30,70,9351,703,611264
26,28,71,9355,708,571288
23,24,69,9352,713,578980
23,23,69,9349,717,542922
22,22,65,9356,723,544125
21,22,59,9364,729,557916
22,23,59,9371,734,514161
25,26,59,9380,738,529738
26,27,65,9396,745,566714
27,28,69,9411,751,598185
28,30,66,9426,758,589059
28,31,65,9435,768,631445
27,29,70,9441,771,635911
27,28,69,9465,777,616094
25,26,65,9486,784,618254
24,27,89,9507,797,570744
21,22,63,9728,803,591666
21,23,64,9930,806,576486
22,23,60,10080,814,542301
25,26,62,10153,819,560171
28,29,62,10341,827,587929
28,31,66,10594,836,637310
28,31,72,10752,839,630899
28,31,74,10891,840,647451
27,30,72,11364,849,665893
26,28,72,11591,849,633687
22,24,66,11758,851,619986
20,19,68,12006,853,578058
22,23,67,12025,857,545739
21,22,65,12036,862,568709
23,23,60,12014,867,546175
26,27,62,12003,870,577841
27,28,64,11946,878,615839
28,32,72,11884,883,632276
28,31,74,11785,889,639320
29,32,72,11820,896,665310
28,31,76,11871,897,688726
26,28,83,11886,903,643185
24,26,76,11898,905,651854
23,24,76,11895,906,621400
22,24,71,11934,909,610963
23,25,72,11986,913,632479
24,25,66,11991,917,591421
25,26,63,11976,920,640267
30,36,74,11980,922,643733
28,31,77,11988,925,690546
27,30,75,12002,928,688800
28,31,78,12021,931,729561
27,30,75,12027,933,766225
26,28,79,12020,935,529295
23,23,72,12016,937,700023
24,25,73,12009,937,633369
29,34,71,12021,938,661509
24,25,68,12039,939,738322
22,23,62,12047,939,629848
27,29,66,12056,940,682515
27,30,68,12068,940,705439
28,32,72,12095,941,732310
28,31,73,12109,942,734836
28,32,74,12092,943,739764
28,31,78,12089,944,755168
27,30,78,12083,944,742724
24,26,83,12095,944,733049
24,26,76,12107,946,723506
24,24,68,12115,949,670392
25,27,68,12129,952,721029
25,26,66,12135,953,652244
26,28,64,12141,956,718522
27,29,70,12152,959,739423
28,31,71,12163,963,752068
29,32,67,12159,966,764275
29,33,70,12164,969,761818
28,32,72,12169,970,790584
27,30,76,12177,972,747424
24,26,82,12182,974,794449
23,24,79,12178,976,721211
24,25,77,12161,976,710615
22,24,73,12175,976,727172
26,27,71,12181,977,659431
27,29,75,12193,977,732716
27,30,78,12187,978,732801
27,31,82,12195,978,776244
28,32,77,12190,978,773324
28,32,79,12184,978,831904
28,32,84,12187,979,753104
27,30,84,12192,979,783790
26,29,87,12196,979,787041
26,28,86,12198,979,755070
23,24,84,12206,980,724619
22,24,77,12215,980,731994
25,26,76,12223,980,664833
26,28,70,12236,981,738934
27,30,74,12205,982,736678
28,31,80,12228,982,771203
28,33,82,12235,983,777945
28,33,83,12241,984,851439
28,32,83,12249,985,765058
26,30,84,12234,985,789698
24,25,79,12227,986,791917
26,28,78,12216,986,765602
